city_id,name,state,region,population,latitude,longitude
126,Kansas City,MO,Midwest,467007,39.0997265,-94.5785667
127,Kansas City,KS,Midwest,148483,39.114053,-94.6274636
128,Kent,WA,West,124435,47.3809335,-122.2348431
129,Killeen,TX,South,137147,31.1171194,-97.7277959
130,Knoxville,TN,South,183270,35.9606384,-83.9207392
131,Lafayette,LA,South,124276,30.2240897,-92.0198427
132,Lakeland,FL,South,100710,28.0394654,-81.9498042
133,Lakewood,CO,West,147214,39.7047095,-105.0813734
134,Lancaster,CA,West,159523,34.6867846,-118.1541632
135,Lansing,MI,Midwest,113972,42.732535,-84.5555347
136,Laredo,TX,South,248142,27.5305671,-99.4803241
137,Las Cruces,NM,West,101324,32.3199396,-106.7636538
138,Las Vegas,NV,West,603488,36.1699412,-115.1398296
139,Lewisville,TX,South,101074,33.046233,-96.994174
140,Lexington,KY,South,308428,38.0405837,-84.5037164
141,Lincoln,NE,Midwest,268738,40.8257625,-96.6851982
142,Little Rock,AR,South,197357,34.7464809,-92.2895948
143,Long Beach,CA,West,469428,33.7700504,-118.1937395
144,Louisville,KY,South,609893,38.2526647,-85.7584557
145,Lowell,MA,Northeast,108861,42.6334247,-71.3161718
146,Lubbock,TX,South,239538,33.5778631,-101.8551665
147,Madison,WI,Midwest,243344,43.0730517,-89.4012302
148,Manchester,NH,Northeast,110378,42.9956397,-71.4547891
149,McAllen,TX,South,136639,26.2034071,-98.2300124
150,McKinney,TX,South,148559,33.1972465,-96.6397822
151,Memphis,TN,South,653450,35.1495343,-90.0489801
152,Mesa,AZ,West,457587,33.4151843,-111.8314724
153,Mesquite,TX,South,143484,32.7667955,-96.5991593
154,Miami,FL,South,417650,25.7616798,-80.1917902
155,Miami Gardens,FL,South,111378,25.9420377,-80.2456045
156,Midland,MI,Midwest,123933,43.6155825,-84.2472116
157,Milwaukee,WI,Midwest,599164,43.0389025,-87.9064736
158,Minneapolis,MN,Midwest,400070,44.977753,-93.2650108
159,Miramar,FL,South,130288,25.9860762,-80.3035602
160,Mobile,AL,South,194899,30.6953657,-88.0398912
161,Modesto,CA,West,204933,37.6390972,-120.9968782
162,Montgomery,AL,South,201332,32.3668052,-86.2999689
163,Moreno Valley,CA,West,201175,33.9424658,-117.2296717
164,Murfreesboro,TN,South,117044,35.8456213,-86.39027
165,Murrieta,CA,West,107479,33.5539143,-117.2139232
166,Naperville,IL,Midwest,144864,41.7508391,-88.1535352
167,Nashville,TN,South,634464,36.1626638,-86.7816016
168,New Haven,CT,Northeast,130660,41.308274,-72.9278835
169,New Orleans,LA,South,378715,29.9510658,-90.0715323
170,Newark,NJ,Northeast,278427,40.735657,-74.1723667
171,Newport News,VA,South,182020,37.0870821,-76.4730122
172,Norfolk,VA,South,246139,36.8507689,-76.2858726
173,Norman,OK,South,118197,35.2225668,-97.4394777
174,North Charleston,SC,South,104054,32.8546197,-79.9748103
175,North Las Vegas,NV,West,226877,36.1988592,-115.1175013
176,Norwalk,CA,West,106589,33.9022367,-118.081733
177,Oakland,CA,West,406253,37.8043637,-122.2711137
178,Oceanside,CA,West,172794,33.1958696,-117.3794834
179,Odessa,TX,South,110720,31.8456816,-102.3676431
180,Oklahoma City,OK,South,610613,35.4675602,-97.5164276
181,Olathe,KS,Midwest,131885,38.8813958,-94.8191285
182,Omaha,NE,Midwest,434353,41.2523634,-95.9979883
183,Ontario,CA,West,167500,34.0633443,-117.6508876
184,Orange,CA,West,139969,33.7877944,-117.8531119
185,Orlando,FL,South,255483,28.5383355,-81.3792365
186,Overland Park,KS,Midwest,181260,38.9822,-94.6708
187,Oxnard,CA,West,203007,34.1975048,-119.1770516
188,Palm Bay,FL,South,104898,28.0344621,-80.5886646
189,Palmdale,CA,West,157161,34.5794343,-118.1164613
190,Pasadena,CA,West,139731,34.1477849,-118.1445155
191,Pasadena,TX,South,152735,29.6910625,-95.2091006
192,Paterson,NJ,Northeast,145948,40.9167654,-74.171811
193,Pearland,TX,South,100065,29.5635666,-95.2860474
194,Pembroke Pines,FL,South,162329,26.007765,-80.2962555
195,Peoria,AZ,West,162592,33.5805955,-112.2373779
196,Peoria,IL,Midwest,116513,40.6936488,-89.5889864
197,Pittsburgh,PA,Northeast,305841,40.4406248,-79.9958864
198,Plano,TX,South,274409,33.0198431,-96.6988856
199,Pomona,CA,West,151348,34.055103,-117.7499909
200,Pompano Beach,FL,South,104410,26.2378597,-80.1247667
201,Port St. Lucie,FL,South,171016,27.2730492,-80.3582261
202,Portland,OR,West,609456,45.5230622,-122.6764816
203,Providence,RI,Northeast,177994,41.8239891,-71.4128343
204,Provo,UT,West,116288,40.2338438,-111.6585337
205,Pueblo,CO,West,108249,38.2544472,-104.6091409
206,Raleigh,NC,South,431746,35.7795897,-78.6381787
207,Rancho Cucamonga,CA,West,171386,34.1063989,-117.5931084
208,Reno,NV,West,233294,39.5296329,-119.8138027
209,Rialto,CA,West,101910,34.1064001,-117.3703235
210,Richardson,TX,South,104475,32.9483335,-96.7298519
211,Richmond,CA,West,107571,37.9357576,-122.3477486
212,Richmond,VA,South,214114,37.5407246,-77.4360481
213,Riverside,CA,West,316619,33.9533487,-117.3961564
214,Rochester,MN,Midwest,110742,44.0121221,-92.4801989
215,Rochester,NY,Northeast,210358,43.16103,-77.6109219
216,Rockford,IL,Midwest,150251,42.2711311,-89.0939952
217,Roseville,CA,West,127035,38.7521235,-121.2880059
218,Round Rock,TX,South,109821,30.5082551,-97.678896
219,Sacramento,CA,West,479686,38.5815719,-121.4943996
220,Saint Paul,MN,Midwest,294873,44.9537029,-93.0899578
221,Salem,OR,West,160614,44.9428975,-123.0350963
222,Salinas,CA,West,155662,36.6777372,-121.6555013
223,Salt Lake City,UT,West,191180,40.7607793,-111.8910474
224,San Bernardino,CA,West,213708,34.1083449,-117.2897652
225,San Francisco,CA,West,837442,37.7749295,-122.4194155
226,San Jose,CA,West,998537,37.3382082,-121.8863286
227,San Mateo,CA,West,101128,37.5629917,-122.3255254
228,Santa Ana,CA,West,334227,33.7455731,-117.8678338
229,Santa Clara,CA,West,120245,37.3541079,-121.9552356
230,Santa Clarita,CA,West,179590,34.3916641,-118.542586
231,Santa Maria,CA,West,102216,34.9530337,-120.4357191
232,Santa Rosa,CA,West,171990,38.4486,-122.7047
233,Savannah,GA,South,142772,32.0835407,-81.0998342
234,Scottsdale,AZ,West,226918,33.4941704,-111.9260519
235,Seattle,WA,West,652405,47.6062095,-122.3320708
236,Shreveport,LA,South,200327,32.5251516,-93.7501789
237,Simi Valley,CA,West,126181,34.2694474,-118.781482
238,Sioux Falls,SD,Midwest,164676,43.5445959,-96.7311034
239,South Bend,IN,Midwest,100886,41.6763545,-86.2519898
240,Spokane,WA,West,210721,47.6587802,-117.4260466
241,Springfield,IL,Midwest,117006,39.7817213,-89.6501481
242,Springfield,MO,Midwest,164122,37.2089572,-93.2922989
243,Springfield,MA,Northeast,153703,42.1014831,-72.589811
244,St. Louis,MO,Midwest,318416,38.6270025,-90.1994042
245,St. Petersburg,FL,South,249688,27.7518284,-82.6267345
246,Stamford,CT,Northeast,126456,41.0534302,-73.5387341
247,Sterling Heights,MI,Midwest,131224,42.5803122,-83.0302033
248,Stockton,CA,West,298118,37.9577016,-121.2907796
249,Sunnyvale,CA,West,147559,37.36883,-122.0363496
250,Surprise,AZ,West,123546,33.6292337,-112.3679279
251,Syracuse,NY,Northeast,144669,43.0481221,-76.1474244
252,Tacoma,WA,West,203446,47.2528768,-122.4442906
253,Tallahassee,FL,South,186411,30.4382559,-84.2807329
254,Tampa,FL,South,352957,27.950575,-82.4571776
255,Temecula,CA,West,106780,33.4936391,-117.1483648
256,Tempe,AZ,West,168228,33.4255104,-111.9400054
257,Thornton,CO,West,127359,39.8680412,-104.9719243
258,Thousand Oaks,CA,West,128731,34.1705609,-118.8375937
259,Toledo,OH,Midwest,282313,41.6639383,-83.555212
260,Topeka,KS,Midwest,127679,39.0558235,-95.6890185
261,Torrance,CA,West,147478,33.8358492,-118.3406288
262,Tucson,AZ,West,526116,32.2217429,-110.926479
263,Tulsa,OK,South,398121,36.1539816,-95.992775
264,Tyler,TX,South,100223,32.3512601,-95.3010624
265,Vallejo,CA,West,118837,38.1040864,-122.2566367
266,Vancouver,WA,West,167405,45.6387281,-122.6614861
267,Ventura,CA,West,108817,34.274646,-119.2290316
268,Victorville,CA,West,121096,34.5362184,-117.2927641
269,Virginia Beach,VA,South,448479,36.8529263,-75.977985
270,Visalia,CA,West,127763,36.3302284,-119.2920585
271,Waco,TX,South,129030,31.549333,-97.1466695
272,Warren,MI,Midwest,134873,42.5144566,-83.0146526
273,Washington,DC,South,646449,38.9071923,-77.0368707
274,Waterbury,CT,Northeast,109676,41.5581525,-73.0514965
275,West Covina,CA,West,107740,34.0686208,-117.9389526
276,West Jordan,UT,West,110077,40.6096698,-111.9391031
277,West Palm Beach,FL,South,102436,26.7153424,-80.0533746
278,West Valley City,UT,West,133579,40.6916132,-112.0010501
279,Westminster,CO,West,110945,39.8366528,-105.0372046
280,Wichita,KS,Midwest,386552,37.6871761,-97.330053
281,Wichita Falls,TX,South,104898,33.9137085,-98.4933873
282,Wilmington,NC,South,112067,34.2257255,-77.9447102
283,Winston-Salem,NC,South,236441,36.0998596,-80.244216
284,Worcester,MA,Northeast,182544,42.2625932,-71.8022934
285,Yonkers,NY,Northeast,199766,40.9312099,-73.8987469
